nsim,n_perm,n_1,n_2,n_3,I,g,a,distr,Model,distr_jtz,rho,ZP,pvaldPermPTtest,pvalePermPTtest,pvaldPerm,pvalePerm,pvaldPBstrp,pvalePBstrp,pvaldNPBstrp,pvaleNPBstrp
10000,1000,5,5,10,25,0.25,1,mixed,Model5,NA,NA,FALSE,14.11,11.66,20.44,12.09,14,12.75,30.7,16.39
10000,1000,5,5,10,25,0.25,1,mixed,Model4,NA,NA,FALSE,6.56,6.39,6.4,5.47,3.79,6.03,11.55,7.48
10000,1000,5,5,10,25,0.75,1,mixed,Model4,NA,NA,FALSE,6.77,6.53,6.23,5.71,5.2,5.69,13.38,6.28
10000,1000,5,5,10,25,0.5,1,mixed,Model3,NA,NA,FALSE,26.6,20.87,41.71,29.06,27.1,30.56,54.83,28.66
10000,1000,5,5,10,25,0.25,1,mixed,Model2,NA,NA,FALSE,10.51,9.25,13.96,10.31,7.63,11.07,21.7,14
10000,1000,5,5,10,25,0.75,1,mixed,Model2,NA,NA,FALSE,12.98,12.42,14.71,12.69,10.25,14.33,25.97,16.53
10000,1000,5,5,10,25,0,1,mixed,Model7,NA,NA,FALSE,11.67,12.85,17.91,21.9,9.31,23.1,26.26,28.98
10000,1000,5,5,10,25,0,1,mixed,Model5,NA,NA,FALSE,12.99,10.85,19.51,11.66,12.56,12.42,29.29,16.17
10000,1000,5,5,10,25,0.25,1,mixed,Model7,NA,NA,FALSE,12.34,13.51,17.72,22.83,9.81,24.17,27.04,29.76
10000,1000,5,10,10,25,0.75,1,mixed,Model3,NA,NA,FALSE,30.14,25.23,52.42,39.44,42.81,50.5,73,39.26
10000,1000,5,10,10,25,0.5,1,mixed,Model1,NA,NA,FALSE,6.75,6.83,5.87,5.51,4.72,6.59,11.96,7.36
10000,1000,5,5,10,25,0.75,1,mixed,Model3,NA,NA,FALSE,30.51,24.95,43.44,33.65,30.94,37.48,60.06,32.46
10000,1000,5,5,10,25,0.75,1,mixed,Model5,NA,NA,FALSE,17.12,15.13,20.72,15.63,17.4,15.82,36.44,17.65
10000,1000,5,5,10,25,0.75,1,mixed,Model6,NA,NA,FALSE,20.85,17.3,25.96,18.76,21.97,18.52,41.97,18.75
10000,1000,5,10,10,25,0.75,1,mixed,Model4,NA,NA,FALSE,6.67,6.65,5.67,5.55,5.76,6.48,13.03,6.84
10000,1000,5,10,10,25,0,1,mixed,Model4,NA,NA,FALSE,7.05,6.93,5.96,5.49,3.95,6.72,10.9,8.5
10000,1000,5,10,10,25,0.5,1,mixed,Model3,NA,NA,FALSE,26.62,21.41,52.01,33.84,39.78,40.08,68.84,36.04
10000,1000,5,10,10,25,0.25,1,mixed,Model2,NA,NA,FALSE,10.98,9.93,15.64,11.25,9.38,12.2,25.66,15.3
10000,1000,5,10,10,25,0,1,mixed,Model2,NA,NA,FALSE,10.42,9.72,14.97,10.6,8.71,11.79,24.36,14.83
10000,1000,5,5,10,25,0.5,1,mixed,Model6,NA,NA,FALSE,18.59,14.96,25.45,16.16,19.25,16.46,38.64,18.49
10000,1000,5,10,10,25,0.25,1,mixed,Model4,NA,NA,FALSE,6.97,6.92,5.8,5.38,4.27,6.73,11.29,8.09
10000,1000,5,10,10,25,0.75,1,mixed,Model1,NA,NA,FALSE,6.74,6.86,5.86,5.61,5.62,6.7,13.04,6.6
10000,1000,5,10,10,25,0.5,1,mixed,Model4,NA,NA,FALSE,6.9,6.97,5.81,5.53,4.73,6.77,12.01,7.87
10000,1000,5,10,10,25,0.25,1,mixed,Model6,NA,NA,FALSE,16.69,13.56,30.22,15.15,23.43,15.97,44.21,18.27
10000,1000,5,10,10,25,0,1,mixed,Model1,NA,NA,FALSE,6.91,6.74,6.09,5.28,3.86,6.73,10.86,7.89
10000,1000,5,10,10,25,0.25,1,mixed,Model1,NA,NA,FALSE,6.89,6.63,5.92,5.37,4.37,6.61,11.29,7.29
10000,1000,5,10,10,25,0,1,mixed,Model6,NA,NA,FALSE,15.26,12.47,29.74,14.22,21.94,14.23,42.42,16.81
10000,1000,5,10,10,25,0.75,1,mixed,Model5,NA,NA,FALSE,17.52,15.3,24.98,17.45,22.17,18.55,42.6,19.36
10000,1000,5,5,10,25,0.5,1,mixed,Model7,NA,NA,FALSE,12.55,14.44,17.49,24.47,10.69,26.29,28.39,31.21
10000,1000,5,10,10,25,0.5,1,mixed,Model5,NA,NA,FALSE,16.03,13.4,24.88,14.81,20.45,15.81,40.04,18.97
10000,1000,5,10,10,25,0.75,1,mixed,Model6,NA,NA,FALSE,20.69,17.17,31,20.11,27.52,20.84,49.44,19.88
10000,1000,5,10,10,25,0.25,1,mixed,Model5,NA,NA,FALSE,14.65,11.85,24.26,13.24,18.71,14.62,37.97,18.08
10000,1000,5,10,10,25,0,1,mixed,Model5,NA,NA,FALSE,14.03,11.49,23.96,12.6,17.43,13.5,36.38,17.66
10000,1000,10,5,5,25,0.5,1,mixed,Model6,NA,NA,FALSE,36.24,29.48,42.14,30.26,34.84,26.32,54.82,28.14
10000,1000,5,5,10,25,0.75,1,mixed,Model7,NA,NA,FALSE,12.66,16.6,17.06,28.33,11.91,30.25,29.6,31.68
10000,1000,5,10,10,25,0.75,1,mixed,Model7,NA,NA,FALSE,12.96,16.88,19.19,35.13,15.18,46.77,33.96,44.5
10000,1000,5,10,10,25,0.25,1,mixed,Model3,NA,NA,FALSE,23.29,18.62,50.06,30.72,36.54,33.96,65.31,32.27
10000,1000,10,5,5,25,0.25,1,mixed,Model4,NA,NA,FALSE,5.21,5.22,5.76,6.22,3.72,5.22,9.12,6.3
10000,1000,5,5,5,25,0.75,1,mixed,Model4,NA,NA,FALSE,6.54,6.46,5.85,5.72,4.98,5.9,12.04,6.32
10000,1000,10,5,5,25,0,1,mixed,Model3,NA,NA,FALSE,49.24,47.61,60.03,56.12,43.47,50.62,68.34,53.54
10000,1000,5,10,10,25,0,1,mixed,Model7,NA,NA,FALSE,12.15,13.44,20.01,28.09,12.18,33.72,31.4,41.64
10000,1000,5,10,10,25,0.25,1,mixed,Model7,NA,NA,FALSE,12.38,13.87,20.43,29.64,13.13,35.6,32.4,42.84
10000,1000,5,10,10,25,0.5,1,mixed,Model6,NA,NA,FALSE,18.78,15.38,31.19,17.45,25.58,17.83,46.51,19.12
10000,1000,10,5,5,25,0.75,1,mixed,Model2,NA,NA,FALSE,18.35,31.05,21.06,30.62,15.04,27.3,35.65,29.78
10000,1000,5,10,10,25,0,1,mixed,Model3,NA,NA,FALSE,20.82,16.63,48.01,28.25,33.72,31.12,62.57,29.83
10000,1000,10,5,5,25,0.5,1,mixed,Model7,NA,NA,FALSE,20.68,55.81,25.27,65.31,17.94,61.14,37.03,64.47
10000,1000,10,5,5,25,0.75,1,mixed,Model4,NA,NA,FALSE,5.08,4.8,5.56,6.17,4.66,4.78,11.55,5.14
10000,1000,10,5,5,25,0.75,1,mixed,Model6,NA,NA,FALSE,39.89,38.31,45.2,37.18,39.47,31.85,62.11,31.54
10000,1000,10,5,5,25,0,1,mixed,Model6,NA,NA,FALSE,29.33,20.74,35.98,23.38,27.68,19.76,44.72,22.34
10000,1000,10,5,5,25,0.5,1,mixed,Model3,NA,NA,FALSE,64.45,67.57,72.19,71.98,57.4,67.47,83.04,68.71
10000,1000,10,5,5,25,0.25,1,mixed,Model6,NA,NA,FALSE,32.7,24.19,38.98,25.93,31.19,22.47,49.2,24.91
10000,1000,10,5,5,25,0.5,1,mixed,Model4,NA,NA,FALSE,5.15,5.33,5.79,5.95,4.18,4.87,10.18,5.71
10000,1000,10,5,5,25,0,1,mixed,Model7,NA,NA,FALSE,19.39,43.91,24.35,55.94,14.98,52,32.63,56.84
