Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21
10000;1000;10;15;15;25;0.75;1;mixed;Model4;NA;NA;FALSE;4.9;5.29;5.02;5.06;4.76;4.81;11.06;4.24
10000;1000;10;15;15;25;0.75;1;normal;Model6;NA;NA;FALSE;62.27;53.96;68.46;63.47;67.24;64.4;78.91;59.63
10000;1000;10;15;15;25;0.75;1;mixed;Model5;NA;NA;FALSE;31.22;31.73;50.36;46.37;48.34;45.79;67.16;41.73
10000;1000;10;15;15;25;0.75;1;lognormal;Model5;NA;NA;FALSE;99.85;91.95;100;97.41;99.97;97.88;100;98.08
10000;1000;10;15;15;50;0.5;1;normal;Model5;NA;NA;FALSE;30.25;30.48;41.02;44.83;39.66;46.65;53.83;39.54
10000;1000;10;15;15;50;0.5;1;lognormal;Model5;NA;NA;FALSE;87.78;61.39;99.01;83.07;97.61;85.11;99.84;83.69
10000;1000;10;15;15;50;0.75;1;normal;Model2;NA;NA;FALSE;48.13;62.2;48.7;77.99;43.51;80.81;63.63;75.77
10000;1000;10;15;15;50;0.5;1;mixed;Model6;NA;NA;FALSE;36.38;29.36;62.38;48.41;59.38;48.13;75.55;39.98
10000;1000;10;15;15;50;0.75;1;lognormal;Model6;NA;NA;FALSE;99.99;97.01;100;99.53;100;99.63;100;99.31
10000;1000;10;15;15;50;0.75;1;lognormal;Model7;NA;NA;FALSE;97.38;99.97;99.52;100;98.93;100;99.92;100
10000;1000;10;15;15;50;0.75;1;mixed;Model7;NA;NA;FALSE;30.33;97.5;67.73;100;63.13;100;88.54;100
10000;1000;10;15;15;50;0.5;1;lognormal;Model6;NA;NA;FALSE;96.59;73.17;99.94;91.75;99.85;93.19;100;90.92
10000;1000;10;15;15;50;0.5;1;mixed;Model7;NA;NA;FALSE;34.36;94.4;75.07;100;68.75;100;89.02;100
10000;1000;10;15;15;50;0.75;1;normal;Model7;NA;NA;FALSE;99.92;100;100;100;100;100;100;100
10000;1000;10;15;15;50;0.5;1;normal;Model2;NA;NA;FALSE;21.96;30.96;27.74;51.45;24.29;54.78;40.68;48.72
10000;1000;10;15;15;50;0.5;1;mixed;Model5;NA;NA;FALSE;29.56;24.08;50.69;39.46;47.5;39.52;64.89;34.34
10000;1000;10;15;15;50;0.5;1;lognormal;Model7;NA;NA;FALSE;69.11;95.35;91.47;100;85.43;100;96.7;100
10000;1000;10;15;15;50;0.5;1;normal;Model6;NA;NA;FALSE;36.71;35.82;51.78;53.71;49.78;55.34;63.66;44.99
10000;1000;10;15;15;50;0.5;1;mixed;Model2;NA;NA;FALSE;17.12;21.12;28.67;38.58;23.3;40.51;43.45;36.57
10000;1000;10;15;15;50;0.75;1;lognormal;Model3;NA;NA;FALSE;99.88;99.51;99.99;99.98;99.99;99.99;100;99.97
10000;1000;10;15;15;50;0.5;1;lognormal;Model2;NA;NA;FALSE;48.72;46.88;66.53;69.74;59.56;71.47;76.65;71.45
10000;1000;10;15;15;50;0.75;1;lognormal;Model2;NA;NA;FALSE;82.98;80.99;88.82;91.01;84.28;92;93.87;91.77
10000;1000;10;15;15;50;0.5;1;mixed;Model4;NA;NA;FALSE;5.22;5.13;5.6;5.68;4.94;5.63;10.82;4.38
10000;1000;10;15;15;50;0.75;1;normal;Model5;NA;NA;FALSE;56.36;59.06;61.28;70.63;60.31;72.02;73.91;64.82
10000;1000;10;15;15;50;0.5;1;lognormal;Model4;NA;NA;FALSE;5.29;5.18;5.31;5.3;4.55;6.01;8.89;5.42
10000;1000;10;15;15;50;0.75;1;mixed;Model6;NA;NA;FALSE;39.59;37.58;63.8;56.59;61.29;56.33;79.67;43.41
10000;1000;10;15;15;50;0.5;1;lognormal;Model3;NA;NA;FALSE;93.67;89.35;99.61;99.33;99.21;99.53;99.87;99.2
10000;1000;10;15;15;50;0.5;1;normal;Model1;NA;NA;FALSE;5.37;5.27;5.42;5.39;4.99;5.67;9.31;4.49
10000;1000;10;15;15;50;0.75;1;lognormal;Model4;NA;NA;FALSE;5.3;5.35;5.28;5.24;4.43;5.74;8.73;5.38
10000;1000;10;15;15;50;0.5;1;normal;Model3;NA;NA;FALSE;68.28;77.58;88.08;97.44;83.71;98.25;95.18;96.18
10000;1000;10;15;15;50;0.5;1;mixed;Model1;NA;NA;FALSE;5.41;5.18;5.91;5.68;4.98;5.78;11.47;4.6
10000;1000;10;15;15;50;0.75;1;normal;Model1;NA;NA;FALSE;5.38;5.17;5.22;5.37;5.01;5.69;9.08;4.37
10000;1000;10;15;15;50;0.5;1;lognormal;Model1;NA;NA;FALSE;5.28;5.4;5.35;5.44;4.15;5.68;8.68;5.56
10000;1000;10;15;15;50;0.75;1;normal;Model4;NA;NA;FALSE;5.38;5.18;5.22;5.37;4.89;5.65;9;4.19
10000;1000;10;15;15;50;0.5;1;mixed;Model3;NA;NA;FALSE;64.96;66.29;93.91;97;90.79;97.51;98.07;94.75
10000;1000;10;15;15;50;0.75;1;mixed;Model2;NA;NA;FALSE;18.46;29.63;28.83;47.7;24.72;49.74;48.99;41.03
10000;1000;10;15;15;50;0.75;1;mixed;Model1;NA;NA;FALSE;5.37;5.34;5.74;5.91;5.46;5.67;12.39;4.12
10000;1000;10;15;15;50;0.5;1;normal;Model4;NA;NA;FALSE;5.37;5.27;5.42;5.39;4.88;5.68;9.19;4.31
10000;1000;10;15;15;50;0.75;1;normal;Model3;NA;NA;FALSE;96.74;98.03;98.94;99.88;98.18;99.95;99.72;99.74
10000;1000;10;15;15;50;0.75;1;lognormal;Model1;NA;NA;FALSE;5.42;5.56;5.31;5.49;4.07;5.33;8.66;5.49
