nsim,n_perm,n_1,n_2,n_3,I,g,a,distr,Model,distr_jtz,rho,ZP,pvaldPermPTtest,pvalePermPTtest,pvaldPerm,pvalePerm,pvaldPBstrp,pvalePBstrp,pvaldNPBstrp,pvaleNPBstrp
10000,1000,5,5,10,25,0,1,lognormal,Model6,normal,0.5,TRUE,12.95,12.06,17.61,12.94,12.46,14.12,26.17,13.11
10000,1000,5,5,10,25,0,1,lognormal,Model3,normal,0.5,TRUE,14.56,13.58,21.42,16.61,14.86,17.24,28.5,12.84
10000,1000,5,5,10,25,0.75,1,lognormal,Model3,t.distr,0.5,TRUE,49.32,41.31,53.64,43.83,42.51,49.1,64.32,40.74
10000,1000,5,5,10,25,0.5,1,lognormal,Model3,t.distr,0.5,TRUE,28.44,24.62,35.72,28.65,24.6,29.19,43.75,23.32
10000,1000,5,5,10,25,0.25,1,lognormal,Model5,normal,0.5,TRUE,12.95,12.04,15.61,12.05,11.38,13.81,24.89,14.29
10000,1000,5,5,10,25,0.75,1,lognormal,Model5,t.distr,0.5,TRUE,36.87,27.42,37.15,25.05,26.66,27.86,50.81,29.05
10000,1000,5,5,10,25,0.5,1,lognormal,Model4,t.distr,0.5,TRUE,6.5,6.41,4.93,5.05,3.53,5.77,8.62,5.83
10000,1000,5,5,10,25,0.25,1,lognormal,Model4,normal,0.5,TRUE,6.56,6.72,5.17,5.1,4.2,6.49,9.63,6.36
10000,1000,5,5,10,25,0.25,1,lognormal,Model2,normal,0.5,TRUE,10.63,10.77,10.87,10.38,7.72,11.14,16.96,9.96
10000,1000,5,5,10,25,0.75,1,lognormal,Model6,normal,0.5,TRUE,39.94,28.93,43.27,28.27,34.05,31.27,57.21,29.98
10000,1000,5,5,5,25,0.75,1,lognormal,Model6,t.distr,0.5,TRUE,46.76,32.7,46.39,29.69,34.44,33.02,61.74,31.48
10000,1000,5,5,10,25,0.25,1,lognormal,Model6,t.distr,0.5,TRUE,17.35,15.18,23.97,16.49,14.86,16.95,32.78,15.83
10000,1000,5,5,10,25,0.25,1,lognormal,Model5,t.distr,0.5,TRUE,14.7,12.97,17.39,12.97,11.12,13.38,26.11,14.12
10000,1000,5,5,10,25,0.5,1,lognormal,Model5,t.distr,0.5,TRUE,19.55,16.47,21.68,15.5,14.23,16.63,31.88,17.54
10000,1000,5,5,10,25,0.75,1,lognormal,Model6,t.distr,0.5,TRUE,46.76,32.65,50.08,31.37,37.57,34.98,63.16,33.68
10000,1000,5,5,10,25,0.5,1,lognormal,Model7,t.distr,0.5,TRUE,13.44,17.29,13.55,21.8,8.67,22.99,20.63,23.35
10000,1000,5,5,10,25,0.75,1,lognormal,Model4,normal,0.5,TRUE,6.56,6.83,5.29,5.41,4.31,6.48,9.83,6.64
10000,1000,5,5,10,25,0.75,1,lognormal,Model2,normal,0.5,TRUE,19.91,19.72,18.11,17.81,13.83,20.95,27.11,19
10000,1000,5,5,10,25,0,1,lognormal,Model6,t.distr,0.5,TRUE,14.38,12.71,20.67,14.05,12.42,14.56,28.39,13.66
10000,1000,5,5,10,25,0.5,1,lognormal,Model6,normal,0.5,TRUE,20.99,17.86,26.21,18.05,18.92,20.04,36.46,18.78
10000,1000,5,5,10,25,0.5,1,lognormal,Model3,normal,0.5,TRUE,24.55,21.68,30.63,25.23,22.46,26.81,39.66,20.64
10000,1000,5,5,10,25,0.75,1,lognormal,Model7,normal,0.5,TRUE,18.48,25.79,17.97,30.38,14.13,36.92,29.33,36.79
10000,1000,5,5,10,25,0,1,lognormal,Model1,t.distr,0.5,TRUE,6.38,6.7,5.06,4.98,2.89,5.27,7.8,4.53
10000,1000,5,10,10,25,0.25,1,lognormal,Model4,t.distr,0.5,TRUE,6.61,6.51,5.22,5.27,3.4,5.65,9.7,5.71
10000,1000,5,10,10,25,0.25,1,lognormal,Model1,normal,0.5,TRUE,6.19,6.54,5.13,4.96,3.93,6.23,9.31,4.94
10000,1000,5,10,10,25,0.75,1,lognormal,Model4,normal,0.5,TRUE,6.71,6.33,5.2,4.74,4.32,6.36,10.41,5.99
10000,1000,5,10,10,25,0.25,1,lognormal,Model5,normal,0.5,TRUE,13.02,12.08,19.69,13.29,14.35,13.97,31.67,14.67
10000,1000,5,10,10,25,0.5,1,lognormal,Model6,normal,0.5,TRUE,21.04,17.57,31.68,19.89,23.24,21.69,46.95,20.29
10000,1000,5,5,10,25,0.25,1,lognormal,Model4,t.distr,0.5,TRUE,6.57,6.54,5,5,3.42,5.78,8.77,5.81
10000,1000,5,5,10,25,0.25,1,lognormal,Model7,t.distr,0.5,TRUE,10.78,13.45,11.58,17.3,7.09,18.1,17.83,18.07
