nsim,n_perm,n_1,n_2,n_3,I,g,a,distr,Model,distr_jtz,rho,ZP,pvaldPermPTtest,pvalePermPTtest,pvaldPerm,pvalePerm,pvaldPBstrp,pvalePBstrp,pvaldNPBstrp,pvaleNPBstrp
10000,1000,5,5,10,25,0.5,1,normal,Model7,t.distr,0.5,TRUE,9.37,10.93,8.75,10.81,6.64,10.76,14,8.95
10000,1000,5,5,10,25,0.25,1,normal,Model7,t.distr,0.5,TRUE,8.63,9.33,8.14,9.09,6.07,9,12.81,7.22
10000,1000,5,5,10,25,0.75,1,normal,Model3,normal,0.5,TRUE,25.27,22.01,24.33,22.14,19.18,27.18,33.1,16.83
10000,1000,5,5,10,25,0.5,1,normal,Model5,t.distr,0.5,TRUE,12.22,10.64,12.08,9.53,9.58,9.43,18.9,8.39
10000,1000,5,5,10,25,0.75,1,normal,Model6,normal,0.5,TRUE,19.42,15.95,17.98,13.75,16.87,15.43,27.93,11.92
10000,1000,5,5,10,25,0,1,normal,Model6,t.distr,0.5,TRUE,9.62,8.96,10.91,8.37,8.36,8.09,17.1,6.36
10000,1000,5,5,10,25,0.5,1,normal,Model6,normal,0.5,TRUE,13.22,11.63,12.87,10.5,11.47,11,20.49,8.74
10000,1000,5,5,10,25,0,1,normal,Model7,normal,0.5,TRUE,7.82,8.25,7.48,7.8,6.16,8.37,12.52,6.75
10000,1000,5,5,10,25,0.5,1,normal,Model3,normal,0.5,TRUE,14.97,13.65,15.81,14.26,11.78,16.75,21.78,9.86
10000,1000,5,5,10,25,0,1,normal,Model1,normal,0.5,TRUE,6.68,6.71,5.22,5.21,4.71,5.87,8.96,4.07
10000,1000,5,5,10,25,0.5,1,normal,Model7,normal,0.5,TRUE,9.35,10.35,8.37,10.06,7.25,10.52,14.05,8.65
10000,1000,5,5,10,25,0,1,normal,Model2,normal,0.5,TRUE,7.88,7.94,7.26,6.89,6.16,7.77,11.66,5.18
10000,1000,5,10,10,25,0.5,1,normal,Model1,t.distr,0.5,TRUE,6.88,6.91,5.18,5.46,4,5.68,8.75,3.87
10000,1000,5,5,10,25,0.75,1,normal,Model4,normal,0.5,TRUE,6.85,6.94,5.7,5.14,4.73,5.78,9.9,5.1
10000,1000,5,5,10,25,0,1,normal,Model3,normal,0.5,TRUE,10.42,10.03,11.66,10.54,8.85,11.72,17.06,6.59
10000,1000,5,10,10,25,0.75,1,normal,Model2,normal,0.5,TRUE,11.77,11.4,11.15,10.73,9.24,13.09,18.4,8.3
10000,1000,5,5,10,25,0.25,1,normal,Model5,normal,0.5,TRUE,10.11,9.36,10.2,8.33,9,9,17.13,7.62
10000,1000,5,5,10,25,0.25,1,normal,Model5,t.distr,0.5,TRUE,10.24,9.37,10.9,8.64,8.3,8.25,16.9,7.18
10000,1000,5,10,10,25,0.5,1,normal,Model4,normal,0.5,TRUE,6.42,6.36,4.73,4.65,4.3,5.5,9.71,4.39
10000,1000,5,5,10,25,0,1,normal,Model1,t.distr,0.5,TRUE,6.72,6.5,5.37,4.89,3.81,5.02,8.13,3.43
10000,1000,5,10,10,25,0,1,normal,Model5,t.distr,0.5,TRUE,9.52,8.81,10.99,8.31,8.31,8.15,18.94,6.92
10000,1000,5,10,10,25,0.5,1,normal,Model6,t.distr,0.5,TRUE,13.85,11.94,16.76,11.7,13.72,11.83,25.99,9.21
10000,1000,5,10,10,25,0.75,1,normal,Model6,t.distr,0.5,TRUE,22.58,17.85,23.88,17.02,20.61,17.13,35.61,13.45
10000,1000,5,10,10,25,0,1,normal,Model4,normal,0.5,TRUE,6.38,6.46,4.87,4.86,4.47,5.87,10.09,4.62
10000,1000,5,10,10,25,0,1,normal,Model3,normal,0.5,TRUE,9.95,9.94,13.58,12.1,10.3,12.89,20.37,6.89
10000,1000,5,10,10,25,0.5,1,normal,Model2,t.distr,0.5,TRUE,9.87,9.88,9.85,9.47,6.79,9.97,15.26,6.78
10000,1000,5,10,10,25,0.25,1,normal,Model7,t.distr,0.5,TRUE,8.66,9.03,8.45,10.43,6.14,10.23,14.08,8.04
10000,1000,5,10,10,25,0,1,normal,Model6,t.distr,0.5,TRUE,10.75,9.76,13.51,9.32,10.57,8.99,21.25,6.99
10000,1000,5,10,10,25,0.5,1,normal,Model3,normal,0.5,TRUE,14.34,13.03,17.59,15.11,13.4,17.93,26.02,9.77
10000,1000,5,10,10,25,0.25,1,normal,Model7,normal,0.5,TRUE,7.72,8.2,7.59,8.92,6.24,9.32,14.32,7.15
10000,1000,5,10,10,25,0.25,1,normal,Model4,t.distr,0.5,TRUE,6.78,6.54,5.08,5.21,3.94,5.45,9.32,4.54
10000,1000,5,10,10,25,0.5,1,normal,Model7,t.distr,0.5,TRUE,9.66,10.79,9.4,12.74,6.85,12.54,15.61,10.17
